verso,vsid,latin,AB,AEP,JL,LLA,MAC,NPC,PF,RBN
281,hj4_rcv_p2c,Sed,∅,∅,∅,∅,OM,∅,OM,∅
281,ir4_qqw_q2c,proles,∅,OM,∅,∅,semd,∅,∅,∅
281,nmm_4qd_q2c,subito,∅,∅,∅,semd,sint,∅,∅,∅
282,m3k_crd_q2c,nec,∅,OM,∅,∅,∅,sem,∅,∅
282,m4v_xqd_q2c,genus,∅,OM,sem+sint,∅,sem,OM,sint,sint
282,q6i_hx3_qrp,unde,∅,OM,∅,OM,OM,OM,OM,∅
282,dbu_u44_gud,novae,∅,sem,∅,OM,sem,OM,sem,∅
282,hhf_tv1_jrq,stirpis,∅,sem,∅,OM,∅,sem,sem,∅
282,yyj_tu7_mcn,revocetur,∅,sem,∅,sem,sem,sem,sem,∅
282,dyc_thu_u3w,habebit,∅,OM,∅,OM,sem,OM,OM,∅
283,b1p_1vy_q2c,tempus,∅,∅,∅,∅,∅,sem,∅,∅
283,gvt_grd_q2c,et,∅,OM,OM,∅,∅,sem,OM,∅
283,bue_kgc_cn5,Arcadii,∅,sem,∅,sem,∅,∅,∅,∅
283,psg_p3x_q2c,memoranda,∅,sema,∅,∅,sem,sint,semd,sint
283,jn6_knx_rhi,inventa,∅,∅,∅,∅,∅,∅,∅,∅
283,smc_o6l_yz2,magistri,∅,sem,∅,∅,sem,sem,sem,∅
284,zhn_bvy_q2c,pandere,∅,∅,∅,∅,sint,sem,∅,∅
284,eot_q4y_on4,quo,∅,OM,∅,OM,OM,OM,OM,∅
284,sq1_yrd_q2c,que,OM,OM,OM,OM,∅,semd,OM,OM
284,fa3_cbc_vd8,modo,∅,OM,∅,OM,sem,OM,OM,∅
284,s4l_dsd_q2c,caesis,sem,OM,∅,∅,∅,sint,semd,sem
284,bnw_zp5_r2c,iam,∅,sint,sem,∅,∅,∅,∅,∅
284,srs_ra8_na6,saepe,∅,OM,∅,OM,sem,OM,∅,∅
284,zi6_fjc_yp6,iuvencis,∅,sem,∅,sem,sem,sem,sem,∅
285,gnd_j54_q2c,insincerus,∅,sem,∅,∅,∅,OM,∅,∅
285,oxz_ea2_a14,apes,∅,sem,∅,∅,∅,∅,sem,∅
285,xqx_bpf_hhi,tulerit,∅,sem,∅,sem,∅,sem,sem,∅
285,jfk_j54_q2c,cruor,∅,∅,∅,∅,∅,OM,∅,∅
285,zyd_nkd_q2c,Altius,sem,∅,∅,sint,sem,∅,∅,∅
285,kwm_lkd_q2c,omnem,sem,OM,∅,sint,OM,∅,∅,∅
286,rfe_p3r_lsp,expediam,∅,sem,∅,sem,sem,sem,sem,∅
286,esj_gld_q2c,prima,∅,OM,∅,sint,sem,sem,∅,OM
286,xrn_lmf_r2c,repetens,∅,∅,∅,sint,sem,∅,∅,∅
286,nyg_pkd_q2c,ab origine,∅,OM,∅,sint,sem,sem,∅,∅
286,swy_mq5_r2c,famam,sem,OM,OM,sint,sem,OM,met,∅
287,szn_vrw_q2c,Nam,∅,∅,∅,∅,OM,OM,∅,∅
287,agw_cbi_w02,Pellaei,∅,sem,∅,OM,sem,OM,∅,∅
287,h7m_pm3_igz,gens,∅,sem,∅,sem,∅,sem,∅,∅
287,gr1_ilz_le5,fortunata,∅,sem,∅,OM,∅,sem,sem,∅
287,cj1_nj6_vh0,Canopi,∅,∅,∅,∅,∅,∅,∅,∅
288,vby_2cx_q2c,accolit,∅,∅,∅,∅,sem,∅,∅,sem
288,ll3_wp3_q2c,effuso,∅,∅,∅,∅,∅,OM,∅,OM
288,nmn_1q3_q2c,stagnantem,∅,∅,∅,OM,∅,OM,∅,sem
288,utv_axp_z5n,flumine,∅,sem,∅,sem,sem,sem,sem,∅
288,k2x_gyf_jck,Nilum,∅,∅,∅,∅,∅,sem,sem,∅
289,eh5_d40_fcu,pictis,∅,sem,∅,OM,sem,sem,sem,∅
289,u10_gxh_nks,vehitur,∅,OM,∅,sem,sem,sem,sem,∅
289,srp_cq3_q2c,sua rura,∅,∅,∅,sem,∅,sint,OM,∅
289,kcn_o28_w2d,phaselis,∅,sem,∅,sem,sem,sem,sem,∅
290,dzf_hnd_q2c,que,∅,∅,OM,∅,OM,sem,OM,OM
290,tkv_s73_day,pharetratae,∅,sem,∅,sem,sem,sem,sem,∅
290,zhd_oab_gh1,vicinia,∅,sem,∅,sem,sem,sem,sem,∅
290,t0e_x0a_m44,Persidis,∅,∅,∅,∅,∅,∅,∅,∅
290,vmt_ynd_q2c,urget,∅,sem,∅,∅,sem,sint,∅,sem
291,alm_rxy_q2c,et viridem Aegyptum,∅,OM,∅,∅,∅,OM,met,∅
291,xtg_upu_nc9,nīgrā,∅,∅,∅,sem,∅,sem,sem,∅
291,c08_bid_nr7,fecundat,∅,∅,∅,sem,∅,sem,∅,∅
291,evb_fwv_r6b,harenā,∅,sem,∅,sem,sem,sem,sem,∅
292,d45_bnk_q2c,diversa,∅,OM,∅,OM,∅,∅,∅,∅
292,myd_m4d_q2c,ruens,∅,∅,sint,∅,sem,OM,∅,∅
292,wnc_q1s_ike,septem,∅,sem,∅,sem,∅,sem,∅,∅
292,qnd_lwb_mow,discurrit,∅,sem,∅,sem,sem,sem,sem,∅
292,r43_qcx_q2c,ora,∅,∅,∅,∅,met,OM,met,∅
293,aio_weu_g04,usque,∅,OM,∅,OM,OM,OM,OM,∅
293,k7p_ux0_r8g,coloratis,∅,sem,∅,sem,sem,OM,sem,∅
293,wrs_54d_q2c,amnis,∅,∅,∅,∅,∅,OM,∅,∅
293,lhh_bqd_q2c,devexus,∅,∅,∅,∅,sem,OM,∅,∅
293,e9r_lpz_c7a,Indis,∅,sem,∅,sem,sem,sem,sem,∅
294,enu_yjj_ps4,omnis,∅,sem,∅,OM,∅,∅,sem,∅
294,bka_qbl_qx0,certam,∅,sem,∅,OM,sem,OM,sem,∅
294,s1z_qnk_q2c,regio,∅,OM,∅,sem,∅,∅,∅,∅
294,vgx_ehg_twn,iacit,∅,sem,∅,OM,sem,OM,sem,∅
294,jda_crx_p3p,arte,∅,sem,∅,sem,∅,sem,sem,∅
294,r3j_cbj_l3c,salutem,∅,sem,∅,sem,sem,OM,sem,∅
