siglum,lista,palabra_traduccion,correlato_latino,tipo
AB,PSºt,tal,,
AB,PSºt,afligida,,
AB,PSºt,Filomela,,
AB,PSºt,sombra,,
AB,PSºt,álamo,,
AB,PSºt,lamenta,,
AB,PSºt,perdidos,,
AB,PSºt,hijos,,
AB,PSºt,labriego,,
AB,PSºt,implacable,,
AB,PSºt,acecho,,
AB,PSºt,nido,,
AB,PSºt,arrancó,,
AB,PSºt,implumes,,
AB,PSºt,llora,,
AB,PSºt,toda,,
AB,PSºt,noche,,
AB,PSºt,rama,,
AB,PSºt,posada,,
AB,PSºt,triste,,
AB,PSºt,canto,,
AB,PSºt,renueva,,
AB,PSºt,amargas,,
AB,PSºt,quejas,,
AB,PSºt,llena,,
AB,PSºt,bosque,,
AB,PSºt,lejos,,
AB,REºt,tal,qualis,∅
AB,REºt,afligida,maerens,∅
AB,REºt,Filomela,philomela,∅
AB,REºt,sombra,umbra,∅
AB,REºt,álamo,populea,∅
AB,REºt,lamenta,queritur,sem
AB,REºt,perdidos,amissos,sem
AB,REºt,hijos,fetus,sem
AB,REºt,labriego,arator,sem
AB,REºt,implacable,durus,sem
AB,REºt,acecho,obseruans,sem
AB,REºt,nido,nido,∅
AB,REºt,arrancó,detraxit,sem
AB,REºt,implumes,implumis,∅
AB,REºt,llora,flet,sem
AB,REºt,noche,noctem,∅
AB,REºt,rama,ramoque,∅
AB,REºt,posada,sedens,∅
AB,REºt,triste,miserabile,sem
AB,REºt,canto,carmen,sem
AB,REºt,renueva,integrat,∅
AB,REºt,amargas,maestis,sem
AB,REºt,quejas,questibus,sem
AB,REºt,llena,implet,∅
AB,REºt,bosque,loca,∅
AB,REºt,lejos,late,sem
AB,PAºt,toda,,add
AB,POºt,,,(ninguna)
RBN,PSºt,Como,,
RBN,PSºt,Filomena,,
RBN,PSºt,afligida,,
RBN,PSºt,sombra,,
RBN,PSºt,álamo,,
RBN,PSºt,lamenta,,
RBN,PSºt,hijos,,
RBN,PSºt,perdidos,,
RBN,PSºt,duro,,
RBN,PSºt,labriego,,
RBN,PSºt,acechando,,
RBN,PSºt,nido,,
RBN,PSºt,implumes,,
RBN,PSºt,sustrajo,,
RBN,PSºt,llora,,
RBN,PSºt,noche,,
RBN,PSºt,lúgubre,,
RBN,PSºt,canto,,
